
Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
xor    	0.1	          30	sigmoid   	      1138
xor    	0.1	          30	sigmoid   	      4344
xor    	0.1	          30	sigmoid   	      3346
xor    	0.1	          30	sigmoid   	      5183
xor    	0.1	          30	sigmoid   	      5178
xor    	0.1	          40	sigmoid   	      4974
xor    	0.1	          40	sigmoid   	      1339
xor    	0.1	          40	sigmoid   	      1313
xor    	0.1	          40	sigmoid   	      4915
xor    	0.1	          40	sigmoid   	      3565
xor    	0.1	          40	sigmoid   	      1540
xor    	0.1	          40	sigmoid   	      3567
xor    	0.1	          40	sigmoid   	      2043
xor    	0.1	          40	sigmoid   	      5933
xor    	0.1	          40	sigmoid   	      3816
xor    	0.1	          50	sigmoid   	      3614
xor    	0.1	          50	sigmoid   	      2678
xor    	0.1	          50	sigmoid   	       858
xor    	0.1	          50	sigmoid   	      2138
xor    	0.1	          50	sigmoid   	      2002
xor    	0.1	          50	sigmoid   	      1594
xor    	0.1	          50	sigmoid   	      3870
xor    	0.1	          50	sigmoid   	      3391
xor    	0.1	          50	sigmoid   	      3127
xor    	0.1	          50	sigmoid   	      3216
xor    	0.1	          60	sigmoid   	      2032
xor    	0.1	          60	sigmoid   	      3288
xor    	0.1	          60	sigmoid   	      2872
xor    	0.1	          60	sigmoid   	      2044
xor    	0.1	          60	sigmoid   	       231
xor    	0.1	          60	sigmoid   	      3263
xor    	0.1	          60	sigmoid   	      2460
xor    	0.1	          60	sigmoid   	       488
xor    	0.1	          60	sigmoid   	      1165
xor    	0.1	          60	sigmoid   	      2544
xor    	0.1	          70	sigmoid   	      2615
xor    	0.1	          70	sigmoid   	      2664
xor    	0.1	          70	sigmoid   	      3396
xor    	0.1	          70	sigmoid   	      8024
xor    	0.1	          70	sigmoid   	      1617
xor    	0.1	          70	sigmoid   	      2977
xor    	0.1	          70	sigmoid   	      2398
xor    	0.1	          70	sigmoid   	      2582
xor    	0.1	          70	sigmoid   	      2050
xor    	0.1	          70	sigmoid   	      2572
xor    	0.1	          80	sigmoid   	       330
xor    	0.1	          80	sigmoid   	      3677
xor    	0.1	          80	sigmoid   	      1734
xor    	0.1	          80	sigmoid   	      2103
xor    	0.1	          80	sigmoid   	       570
xor    	0.1	          80	sigmoid   	      2313
xor    	0.1	          80	sigmoid   	      2457
xor    	0.1	          80	sigmoid   	      1406
xor    	0.1	          80	sigmoid   	      2056
xor    	0.1	          80	sigmoid   	     99999
xor    	0.1	          90	sigmoid   	     17553
xor    	0.1	          90	sigmoid   	       864
xor    	0.1	          90	sigmoid   	      1207
xor    	0.1	          90	sigmoid   	       795
xor    	0.1	          90	sigmoid   	      2453
xor    	0.1	          90	sigmoid   	       423
xor    	0.1	          90	sigmoid   	     10758
xor    	0.1	          90	sigmoid   	       426
xor    	0.1	          90	sigmoid   	       652
xor    	0.1	          90	sigmoid   	      1963
xor    	0.1	         100	sigmoid   	      1650
xor    	0.1	         100	sigmoid   	      8733
xor    	0.1	         100	sigmoid   	      1530
xor    	0.1	         100	sigmoid   	      1272
xor    	0.1	         100	sigmoid   	      1463
xor    	0.1	         100	sigmoid   	      1130
xor    	0.1	         100	sigmoid   	      2226
xor    	0.1	         100	sigmoid   	       498
xor    	0.1	         100	sigmoid   	      2083
xor    	0.1	         100	sigmoid   	     91467

Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.1	          10	sigmoid   	      2406
linear 	0.1	          10	sigmoid   	      1515
linear 	0.1	          10	sigmoid   	      1362
linear 	0.1	          10	sigmoid   	      1808
linear 	0.1	          10	sigmoid   	      2254
linear 	0.1	          10	sigmoid   	      1656
linear 	0.1	          10	sigmoid   	      1809
linear 	0.1	          10	sigmoid   	      1484
linear 	0.1	          10	sigmoid   	      1737
linear 	0.1	          10	sigmoid   	      2366
linear 	0.1	          20	sigmoid   	      1376
linear 	0.1	          20	sigmoid   	      1006
linear 	0.1	          20	sigmoid   	      1065
linear 	0.1	          20	sigmoid   	      1357
linear 	0.1	          20	sigmoid   	       902
linear 	0.1	          20	sigmoid   	      1265
linear 	0.1	          20	sigmoid   	      1790
linear 	0.1	          20	sigmoid   	      1700
linear 	0.1	          20	sigmoid   	      1581
linear 	0.1	          20	sigmoid   	      1120
linear 	0.1	          30	sigmoid   	      1249
linear 	0.1	          30	sigmoid   	       815
linear 	0.1	          30	sigmoid   	       821
linear 	0.1	          30	sigmoid   	       673
linear 	0.1	          30	sigmoid   	      1016
linear 	0.1	          30	sigmoid   	      1196
linear 	0.1	          30	sigmoid   	       894
linear 	0.1	          30	sigmoid   	      1143
linear 	0.1	          30	sigmoid   	       730
linear 	0.1	          30	sigmoid   	      1090
linear 	0.1	          40	sigmoid   	       391
linear 	0.1	          40	sigmoid   	       283
linear 	0.1	          40	sigmoid   	      1053
linear 	0.1	          40	sigmoid   	       729
linear 	0.1	          40	sigmoid   	      1281
linear 	0.1	          40	sigmoid   	       871
linear 	0.1	          40	sigmoid   	      1253
linear 	0.1	          40	sigmoid   	       590
linear 	0.1	          40	sigmoid   	       581
linear 	0.1	          40	sigmoid   	       721
linear 	0.1	          50	sigmoid   	       652
linear 	0.1	          50	sigmoid   	       658
linear 	0.1	          50	sigmoid   	       615
linear 	0.1	          50	sigmoid   	     99999
linear 	0.1	          50	sigmoid   	       738
linear 	0.1	          50	sigmoid   	      3050
linear 	0.1	          50	sigmoid   	       536
linear 	0.1	          50	sigmoid   	       595
linear 	0.1	          50	sigmoid   	       191
linear 	0.1	          50	sigmoid   	       391
linear 	0.1	          60	sigmoid   	       665
linear 	0.1	          60	sigmoid   	       412
linear 	0.1	          60	sigmoid   	       555
linear 	0.1	          60	sigmoid   	      1216
linear 	0.1	          60	sigmoid   	       653
linear 	0.1	          60	sigmoid   	       397
linear 	0.1	          60	sigmoid   	       690
linear 	0.1	          60	sigmoid   	       709
linear 	0.1	          60	sigmoid   	       808
linear 	0.1	          60	sigmoid   	       711
linear 	0.1	          70	sigmoid   	       470
linear 	0.1	          70	sigmoid   	       507
linear 	0.1	          70	sigmoid   	       388
linear 	0.1	          70	sigmoid   	       411
linear 	0.1	          70	sigmoid   	      1580
linear 	0.1	          70	sigmoid   	       596
linear 	0.1	          70	sigmoid   	       534
linear 	0.1	          70	sigmoid   	       403
linear 	0.1	          70	sigmoid   	     99999
linear 	0.1	          70	sigmoid   	       444
linear 	0.1	          80	sigmoid   	       634
linear 	0.1	          80	sigmoid   	      1227
linear 	0.1	          80	sigmoid   	       670
linear 	0.1	          80	sigmoid   	       294
linear 	0.1	          80	sigmoid   	       242
linear 	0.1	          80	sigmoid   	       778
linear 	0.1	          80	sigmoid   	       516
linear 	0.1	          80	sigmoid   	      1095
linear 	0.1	          80	sigmoid   	       499
linear 	0.1	          80	sigmoid   	       395
linear 	0.1	          90	sigmoid   	      7886
linear 	0.1	          90	sigmoid   	       274
linear 	0.1	          90	sigmoid   	       898
linear 	0.1	          90	sigmoid   	       361
linear 	0.1	          90	sigmoid   	      1115
linear 	0.1	          90	sigmoid   	       369
linear 	0.1	          90	sigmoid   	     20319
linear 	0.1	          90	sigmoid   	      1303
linear 	0.1	          90	sigmoid   	       424
linear 	0.1	          90	sigmoid   	        95
linear 	0.1	         100	sigmoid   	       479
linear 	0.1	         100	sigmoid   	       683
linear 	0.1	         100	sigmoid   	       179
linear 	0.1	         100	sigmoid   	       200
linear 	0.1	         100	sigmoid   	       335
linear 	0.1	         100	sigmoid   	       146
linear 	0.1	         100	sigmoid   	       991
linear 	0.1	         100	sigmoid   	       186
linear 	0.1	         100	sigmoid   	       722
linear 	0.1	         100	sigmoid   	       217

Experiment: lr
Dataset	lr   	hidden units	activation	best epoch
linear 	0.1	          50	sigmoid   	       652
linear 	0.1	          50	sigmoid   	       658
linear 	0.1	          50	sigmoid   	       615
linear 	0.1	          50	sigmoid   	     99999
linear 	0.1	          50	sigmoid   	       738
linear 	0.1	          50	sigmoid   	      3050
linear 	0.1	          50	sigmoid   	       536
linear 	0.1	          50	sigmoid   	       595
linear 	0.1	          50	sigmoid   	       191
linear 	0.1	          50	sigmoid   	       391
linear 	0.05	          50	sigmoid   	      1302
linear 	0.05	          50	sigmoid   	      1314
linear 	0.05	          50	sigmoid   	      1230
linear 	0.05	          50	sigmoid   	     99999
linear 	0.05	          50	sigmoid   	      1476
linear 	0.05	          50	sigmoid   	      6096
linear 	0.05	          50	sigmoid   	      1073
linear 	0.05	          50	sigmoid   	      1191
linear 	0.05	          50	sigmoid   	       383
linear 	0.05	          50	sigmoid   	       781
linear 	0.01	          50	sigmoid   	      6506
linear 	0.01	          50	sigmoid   	      6568
linear 	0.01	          50	sigmoid   	      6149
linear 	0.01	          50	sigmoid   	     99999
linear 	0.01	          50	sigmoid   	      7382
linear 	0.01	          50	sigmoid   	     30464
linear 	0.01	          50	sigmoid   	      5362
linear 	0.01	          50	sigmoid   	      5955
linear 	0.01	          50	sigmoid   	      1916
linear 	0.01	          50	sigmoid   	      3905
linear 	0.005	          50	sigmoid   	     13011
linear 	0.005	          50	sigmoid   	     13135
linear 	0.005	          50	sigmoid   	     12297
linear 	0.005	          50	sigmoid   	     99999
linear 	0.005	          50	sigmoid   	     14765
linear 	0.005	          50	sigmoid   	     60924
linear 	0.005	          50	sigmoid   	     10724
linear 	0.005	          50	sigmoid   	     11911
linear 	0.005	          50	sigmoid   	      3832
linear 	0.005	          50	sigmoid   	      7809

Experiment: lr
Dataset	lr   	hidden units	activation	best epoch
linear 	0.1000	          50	sigmoid   	       652
linear 	0.1000	          50	sigmoid   	       658
linear 	0.1000	          50	sigmoid   	       615
linear 	0.1000	          50	sigmoid   	     99999
linear 	0.1000	          50	sigmoid   	       738
linear 	0.1000	          50	sigmoid   	      3050
linear 	0.1000	          50	sigmoid   	       536
linear 	0.1000	          50	sigmoid   	       595
linear 	0.1000	          50	sigmoid   	       191
linear 	0.1000	          50	sigmoid   	       391
linear 	0.0500	          50	sigmoid   	      1302
linear 	0.0500	          50	sigmoid   	      1314
linear 	0.0500	          50	sigmoid   	      1230
linear 	0.0500	          50	sigmoid   	     99999
linear 	0.0500	          50	sigmoid   	      1476
linear 	0.0500	          50	sigmoid   	      6096
linear 	0.0500	          50	sigmoid   	      1073
linear 	0.0500	          50	sigmoid   	      1191
linear 	0.0500	          50	sigmoid   	       383
