episode	mean	max
584	2822.82	16128
585	2827.23	16128
586	2838.39	16128
587	2846.01	16128
588	2858.82	16128
589	2865.26	16128
590	2877.07	16128
591	2883.72	16128
592	2888.89	16128
593	2893.1	16128
594	2902.56	16128
595	2916.1	16128
596	2918.91	16128
597	2926.1	16128
598	2934.8	16128
599	2939.93	16128
600	2943.98	16128
601	2950.65	16128
602	2962.14	16128
603	2969.36	16128
604	2976.66	16128
605	2983.23	16128
606	2988.28	16128
607	2995.78	16128
608	2999.58	16128
609	3007.76	16128
610	3011.72	16128
611	3016.35	16128
612	3023.14	16128
613	3030	16128
614	3032.88	16128
615	3040.34	16128
616	3042.12	16128
617	3049.37	16128
618	3056	16128
619	3059.56	16128
620	3064.21	16128
621	3069.94	16128
622	3079.9	16128
623	3086.83	16128
624	3093.65	16128
625	3097.75	16128
626	3110.14	16128
627	3122.2	16128
628	3125.09	16128
629	3133.43	16128
630	3137.49	16128
631	3141.39	16128
632	3150.06	16128
633	3152.55	16128
634	3160.63	16128
635	3164.06	16128
636	3173.16	16128
637	3180.18	16128
638	3188.85	16128
639	3212.99	24144
640	3215.42	24144
641	3223.49	24144
642	3227.38	24144
643	3237.66	24144
644	3245.66	24144
645	3252.21	24144
646	3260.24	24144
647	3268.9	24144
648	3273.12	24144
649	3285.41	24144
650	3294.6	24144
651	3302.32	24144
652	3307.72	24144
653	3313.18	24144
654	3316.94	24144
655	3320.27	24144
656	3322.72	24144
657	3330.96	24144
658	3332.7	24144
659	3338.78	24144
660	3341.9	24144
661	3350.6	24144
662	3354.19	24144
663	3362.07	24144
664	3373.32	24144
665	3376.96	24144
666	3384.88	24144
667	3391.64	24144
668	3399.91	24144
669	3406.94	24144
670	3417.68	24144
671	3423.35	24144
672	3430.58	24144
673	3437.39	24144
674	3442.33	24144
675	3451.12	24144
676	3454.58	24144
677	3458.85	24144
678	3464.83	24144
679	3472.19	24144
680	3476.28	24144
681	3491.35	24144
682	3498.92	24144
683	3500.35	24144
684	3502.1	24144
685	3509.77	24144
686	3522.76	24144
687	3529.1	24144
688	3532.14	24144
689	3539.15	24144
690	3542.16	24144
691	3549.66	24144
692	3553.62	24144
693	3559.96	24144
694	3567.42	24144
695	3573.15	24144
696	3593.95	24144
697	3604.92	24144
698	3613.43	24144
699	3623.05	24144
700	3627.79	24144
701	3636.62	24144
702	3653.29	24144
703	3656.05	24144
704	3656.87	24144
705	3666.16	24144
706	3673.6	24144
707	3681.83	24144
708	3689.84	24144
709	3692.15	24144
710	3697.82	24144
711	3704.88	24144
712	3710.53	24144
713	3717.29	24144
714	3727.06	24144
715	3735.3	24144
716	3748.65	24144
717	3752.72	24144
718	3766.16	24144
719	3772.07	24144
720	3784.74	24144
721	3796.04	24144
722	3798.25	24144
723	3808.91	24144
724	3816.19	24144
725	3821.06	24144
726	3828.9	24144
727	3836.38	24144
728	3850.93	24144
729	3859.76	24144
730	3869.11	24144
731	3874.58	24144
732	3880.95	24144
733	3887.3	24144
734	3894.76	24144
735	3902.69	24144
736	3913.85	24144
737	3922.82	24144
738	3930.31	24144
739	3934.04	24144
740	3942.82	24144
741	3949.28	24144
742	3954.94	24144
743	3958.38	24144
744	3960.49	24144
745	3967.54	24144
746	3973.44	24144
747	3981.06	24144
748	3987.84	24144
749	3991.35	24144
750	3999.4	24144
751	4006.95	24144
752	4016.19	24144
753	4020.36	24144
754	4024.01	24144
755	4034.52	24144
756	4046	24144
757	4050.06	24144
758	4055.79	24144
759	4058.99	24144
760	4066.92	24144
761	4073.62	24144
762	4081.52	24144
763	4091.07	24144
764	4096.42	24144
765	4106.27	24144
766	4110.87	24144
767	4119.07	24144
768	4127.54	24144
769	4138.12	24144
770	4145.5	24144
771	4157.64	24144
772	4166.62	24144
773	4173.78	24144
774	4179.29	24144
775	4189.98	24144
776	4197.47	24144
777	4207.41	24144
778	4216.85	24144
779	4224.76	24144
780	4232.59	24144
781	4246.46	24144
782	4255.86	24144
783	4259.05	24144
784	4271.25	24144
785	4272.99	24144
